timestamp,operation,controller,details,username,status
Tue May 21 04:14:49 EEST 2019,READ,controller.MedicController,User reads medic with id=19,,OK
Tue May 21 04:14:49 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 04:14:52 EEST 2019,UPDATE,controller.CaseController,Medic sets case completed with id=6,jms,OK
Tue May 21 04:15:04 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bobby,OK
Tue May 21 04:15:04 EEST 2019,READ,controller.PatientController,Patient reads his data,bobby,OK
Tue May 21 04:15:04 EEST 2019,READ,controller.PatientController,Patient reads his data,bobby,OK
Tue May 21 04:15:04 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 04:15:04 EEST 2019,READ,controller.MedicController,User reads medic with id=19,,OK
Tue May 21 04:15:04 EEST 2019,READ,controller.CaseController,Read case with id=6,bobby,OK
Tue May 21 04:15:09 EEST 2019,READ,controller.CaseController,Read case with id=6,bobby,OK
Tue May 21 04:15:10 EEST 2019,READ,controller.PatientController,User reads data from patient with id=20,bobby,OK
Tue May 21 04:15:10 EEST 2019,READ,controller.MedicController,User reads medic with id=19,,OK
Tue May 21 04:15:10 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
